respondent_id,survey_date,session_source,role,region,city,institution_type,institution_tier,delivery_mode,discipline,program_level,year_of_study,age,ai_literacy_1to5,digital_comfort_1to5,internet_quality_1to5,ai_use_days_per_week,time_saved_hours_per_week,primary_ai_tool,other_tools_used,top_ai_use_cases,assessment_context_most_impacted,institution_policy_awareness,institution_ai_stance,cites_ai_sources_rate_0to1,verifies_ai_outputs_rate_0to1,perceived_learning_benefit_1to5,perceived_cheating_risk_1to5,perceived_dependency_risk_1to5,trust_in_ai_outputs_1to5,fairness_equity_concern_1to5,plagiarism_or_misuse_flag,student_grade_change_pct,student_stress_change_index,student_critical_thinking_change_index,staff_reported_ai_misuse_cases_last_term,ai_training_hours_last_6_months,ai_adoption_category
R100000,2025-11-15,Workshop Feedback,Student,India,Bengaluru,EdTech Bootcamp,Tier 1,On-campus,Sciences,Postgraduate,2,21,3,2,4,5,8.8,ChatGPT,Midjourney; Gemini; ChatGPT,Language improvement; Research summarization; Exam revision,In-class test,Not aware,Allowed (limited),0.43,0.46,3,4,4,3,3,0,1.1,-5.5,3.6,,4.1,Medium
R100001,2025-08-10,Panel Discussion Survey,Student,UK,London,Private University,Tier 2,Hybrid,Sciences,Undergraduate,2,17,2,2,4,2,2.2,ChatGPT,ChatGPT; DALL·E,Quiz practice,Viva/Oral,Read it,Allowed with citation,0.22,0.14,4,4,4,1,3,0,-0.9,1.3,-0.1,,1.7,Medium
R100002,2025-03-07,Panel Discussion Survey,Faculty,Singapore,Singapore,Private University,Tier 3,Online,Business,Staff,,33,4,2,4,4,5.4,Claude,,Exam revision; Language improvement; Quiz practice,In-class test,Read it,Allowed with citation,0.13,0.34,5,5,4,3,2,0,,,,7.0,5.2,Medium
R100003,2025-09-25,Panel Discussion Survey,Student,Canada,Montreal,Private University,Tier 1,Online,Business,Postgraduate,2,21,3,2,4,3,3.2,ChatGPT,ChatGPT; QuillBot,Interview prep,Take-home assignment,Heard of it,Allowed (limited),0.24,0.42,4,4,4,3,3,0,5.0,-1.4,0.5,,1.0,Medium
R100004,2025-11-30,Panel Discussion Survey,Student,India,Hyderabad,Private University,Tier 1,Hybrid,Arts/Humanities,Undergraduate,3,17,4,2,4,7,8.1,ChatGPT,Claude; ChatGPT,Exam revision,Viva/Oral,Not aware,Allowed (limited),0.2,0.66,3,2,3,4,3,0,2.9,4.2,-3.1,,1.1,High
R100005,2025-03-05,Class Survey,Admin,India,Mumbai,EdTech Bootcamp,Tier 2,Hybrid,Sciences,Staff,,37,3,2,4,2,2.7,Grammarly,QuillBot; Grammarly,Note-making; Research summarization; Assignment writing,In-class test,Heard of it,Allowed with citation,0.7,0.56,4,4,2,4,3,0,,,,3.0,7.6,Medium
R100006,2025-03-27,Panel Discussion Survey,Student,Singapore,Singapore,K-12 School,Tier 3,On-campus,Medicine,Postgraduate,2,29,3,2,4,4,8.2,DALL·E,,Exam revision; Assignment writing,Online quiz,Not aware,Unclear,0.36,0.35,4,4,3,3,2,0,5.2,5.5,2.9,,3.2,Medium
R100007,2025-08-02,Workshop Feedback,Faculty,Singapore,Singapore,Private University,Tier 2,Hybrid,Business,Staff,,26,4,2,4,5,7.8,ChatGPT,Gemini,Research summarization; Note-making; Assignment writing,Project,Read it,Allowed (limited),0.54,0.61,4,3,3,4,5,0,,,,0.0,8.6,High
R100008,2025-02-23,Class Survey,Student,UAE,Sharjah,Private University,Tier 3,Online,Medicine,Undergraduate,3,23,2,2,4,4,6.5,Grammarly,Grammarly; Gemini; Copilot,Language improvement; Research summarization,In-class test,Read it,Allowed (limited),0.26,0.34,4,3,3,2,2,0,1.8,-2.1,-1.9,,1.7,Medium
R100009,2025-05-22,Class Survey,Student,USA,Boston,Private University,Tier 2,Hybrid,Computer Science,High School,9,15,3,2,4,3,2.7,Grammarly,Stable Diffusion,Coding help; Interview prep,Online quiz,Heard of it,Unclear,0.68,0.32,4,4,3,1,4,0,7.7,-1.7,-0.1,,1.7,Medium
R100010,2025-08-13,Class Survey,Student,UAE,Dubai,Public University,Tier 1,On-campus,Computer Science,Undergraduate,1,21,3,2,4,5,4.2,Notion AI,Claude; Copilot; Grammarly,Research summarization; Assignment writing; Exam revision,Project,Heard of it,Allowed (limited),0.12,0.62,3,3,2,3,4,1,-5.3,-4.2,-0.1,,0.0,Medium
R100011,2025-12-15,Panel Discussion Survey,Faculty,India,Kolkata,Private University,Tier 2,On-campus,Computer Science,Staff,,54,3,2,4,2,3.2,Grammarly,Midjourney,Coding help; Research summarization,Take-home assignment,Heard of it,Unclear,0.21,0.48,4,5,4,3,3,0,,,,8.0,5.3,Medium
R100012,2025-11-17,Workshop Feedback,Student,India,Delhi,K-12 School,Tier 3,Hybrid,Computer Science,Postgraduate,1,22,3,2,4,5,8.5,Perplexity,Copilot; Gemini,Coding help; Exam revision,Project,Not aware,Unclear,0.55,0.54,2,3,5,1,4,0,7.5,0.2,2.5,,1.7,Medium
R100013,2025-01-18,Panel Discussion Survey,Faculty,India,Hyderabad,Community College,Tier 3,Online,Education,Staff,,31,4,2,4,2,5.8,DALL·E,QuillBot; Grammarly; Claude,Presentation creation; Language improvement; Note-making,Take-home assignment,Not aware,Allowed (limited),0.33,0.33,4,2,5,4,3,0,,,,3.0,6.3,Medium
